obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
24,-0.040439647,-0.10838335,-0.15201,-0.32915816,0.0,0.1894569,0.0,0.0,0.0,0.0
25,-0.12856904,-0.096073925,0.30083033,-0.16096854,0.0,0.20234697,0.0,0.0,0.0,0.0
26,0.003142992,-0.7942482,0.25362077,0.15891777,0.0,0.13815801,0.0,0.0,0.0,0.0
27,0.03554085,-0.5249541,0.14562811,0.83402383,0.0,0.17359805,0.0,0.0,0.0,0.0
28,0.220705,-0.8524887,0.20787767,0.77063787,0.0,0.15245602,0.0,0.0,0.0,0.0
29,-0.1011295,-0.99507815,-0.14881873,-0.36191916,0.0,0.11118122,0.0,0.0,0.0,0.0
30,-0.084451534,-0.8836228,-0.10599178,-0.18325935,0.0,0.11868566,0.0,0.0,0.0,0.0
31,-0.086757734,-0.56559277,-0.06779461,-0.01811396,0.0,0.15187983,0.0,0.0,0.0,0.0
32,0.013008846,-0.8202716,-0.061267734,-0.16206011,0.0,0.15361719,0.0,0.0,0.0,0.0
33,-0.0042574536,-0.51657087,-0.4341583,-0.0004636608,0.0,0.14984821,0.0,0.0,0.0,0.0
34,0.27396673,-0.6590466,0.1892078,0.14733058,0.0,0.083896816,0.0,0.0,0.0,0.0
35,-0.12650622,-0.089160435,0.06247676,0.13589184,0.0,0.15053627,0.0,0.0,0.0,0.0
36,-0.06342568,-0.08815826,-0.03889928,-0.1681511,0.0,0.0996785,0.0,0.0,0.0,0.0
37,-0.077230595,-0.36792123,-0.033200048,0.12522326,0.0,0.06761916,0.0,0.0,0.0,0.0
38,0.05709322,0.09552011,-0.12202863,-0.23707715,0.0,0.1351687,0.0,0.0,0.0,0.0
39,0.017000832,0.73268175,-0.027060684,-0.36751872,0.0,0.1969181,0.0,0.0,0.0,0.0
40,-0.11830922,0.53269565,-0.47911996,-0.3985127,0.0,0.15262493,0.0,0.0,0.0,0.0
41,0.06714849,0.77956825,-0.21795352,-0.2334535,0.0,0.20497122,0.0,0.0,0.0,0.0
42,0.050742295,0.41521087,0.062326696,-0.055658195,0.0,0.15315899,0.0,0.0,0.0,0.0
43,0.06919006,0.7188647,0.24541996,0.026067788,0.0,0.17305309,0.0,0.0,0.0,0.0
44,-0.051559865,0.89954144,0.14832711,0.13883707,0.0,0.16526884,0.0,0.0,0.0,0.0
45,-0.13405302,0.8864183,-0.04764086,0.35467848,0.0,0.07094721,0.0,0.0,0.0,0.0
46,0.78592265,1.2762564,0.28425097,0.056141507,0.0,0.30616543,0.0,0.0,0.0,0.0
47,0.85746425,2.9178445,0.22962911,0.32157487,0.0,0.27121672,0.0,0.0,0.0,0.0
48,0.6656877,3.011809,0.092885405,0.47994977,0.0,0.3020022,0.0,0.0,0.0,0.0
49,0.7191422,1.6911205,0.24194507,0.8007224,0.0,0.30318826,0.0,0.0,0.0,0.0
50,0.64930403,3.1465127,0.17373875,0.17439233,0.0,0.27950728,0.0,0.0,0.0,0.0
51,0.49814838,3.0867362,-0.061504003,-0.19152246,0.0,0.28468946,0.0,0.0,0.0,0.0
52,-0.6222087,1.952303,-0.06604051,0.40203452,0.0,0.20667064,0.0,0.0,0.0,0.0
53,-0.66356784,2.106749,0.08872375,0.3991446,0.0,0.2984864,0.0,0.0,0.0,0.0
54,-0.62253976,2.0403805,0.24401064,0.8323456,0.0,0.31207657,0.0,0.0,0.0,0.0
55,0.602354,3.0598543,-0.08824629,0.22130471,0.0,0.2184242,0.0,0.0,0.0,0.0
